,dob,workclass,occupation
18133,1958,withpay,execmanagerial
14956,1958,withpay,sales
16138,1958,withpay,sales
32384,1958,withpay,craftrepair
17377,1958,withpay,sales
21450,1958,withpay,admclerical
32147,1967,withpay,transportmoving
2050,1967,withpay,sales
27265,1967,withpay,sales
28592,1967,withpay,sales
20575,1967,withpay,craftrepair
14861,1967,withpay,admclerical
31628,1967,withpay,admclerical
32311,1967,withpay,transportmoving
16628,1967,withpay,profspecialty
7595,1967,withpay,admclerical
11631,1967,withpay,profspecialty
27305,1955,notworking,nooccupation
10580,1955,notworking,nooccupation
18879,1955,notworking,nooccupation
17276,1955,notworking,nooccupation
26414,2001,withpay,sales
7122,2001,withpay,admclerical
28701,2001,withpay,machineopinspct
12085,2001,withpay,admclerical
18759,2001,withpay,execmanagerial
17706,2001,withpay,transportmoving
8431,2001,withpay,admclerical
26333,2001,withpay,techsupport
7804,2001,withpay,otherservice
21281,2001,withpay,craftrepair
30554,2001,withpay,techsupport
19185,2001,withpay,sales
15834,2001,withpay,sales
26409,2001,withpay,otherservice
5141,2001,withpay,sales
14919,2004,withpay,handlerscleaners
26178,2004,withpay,sales
24741,2004,withpay,craftrepair
8518,2004,withpay,profspecialty
16866,2004,withpay,craftrepair
22596,2004,withpay,handlerscleaners
21837,2004,withpay,sales
6287,2004,withpay,craftrepair
14428,2004,withpay,machineopinspct
23813,2004,withpay,craftrepair
25466,2004,withpay,otherservice
17356,1959,withpay,sales
28740,1959,withpay,profspecialty
26752,1959,withpay,transportmoving
31485,1959,withpay,execmanagerial
23439,1959,withpay,machineopinspct
13000,1959,withpay,handlerscleaners
18717,1959,withpay,farmingfishing
13081,2003,notworking,nooccupation
16041,2003,notworking,nooccupation
26961,2003,notworking,nooccupation
6206,2003,notworking,nooccupation
